,trace_id,predict,label,type
0,61c4cd9551ee4cbeaf9c40ad7e28aadf.35.16459756853271069,1,1,ts-config-service.POST:/api/v1/travelplanservice/travelPlan/quickest
1,d080cd7caefb4cf2abe5b9eaa1c86026.43.16461196738460081,1,1,user_code_chaos.POST:/api/v1/preserveotherservice/preserveOther
2,d080cd7caefb4cf2abe5b9eaa1c86026.35.16461206783620099,1,1,user_code_chaos.POST:/api/v1/preserveotherservice/preserveOther
3,40c92ef0dafa45d3ac2e737789359166.42.16457908476901633,1,1,ts-station-service.POST:/api/v1/travelplanservice/travelPlan/minStation
4,61c4cd9551ee4cbeaf9c40ad7e28aadf.36.16459060571390071,1,1,ts-basic-service.POST:/api/v1/travelplanservice/travelPlan/minStation
5,2ba46c06939c4b0cac68ad1af6e9c919.36.16457612950220031,1,1,ts-order-other-service.POST:/api/v1/preserveservice/preserve
6,40c92ef0dafa45d3ac2e737789359166.42.16457503125490745,1,1,ts-seat-service.POST:/api/v1/travelplanservice/travelPlan/cheapest
7,b88cc045753f4ba1967aa425fe079629.37.16461115994490885,1,1,station_code_chaos.POST:/api/v1/orderservice/order/refresh
8,40c92ef0dafa45d3ac2e737789359166.44.16457502302910801,1,1,ts-seat-service.POST:/api/v1/travelplanservice/travelPlan/quickest
9,3137e95996e042a1ae0717cf0bcee243.38.16459928234160091,1,1,ts-basic-service.POST:/api/v1/travelplanservice/travelPlan/quickest
10,61c4cd9551ee4cbeaf9c40ad7e28aadf.40.16459753890731043,1,1,ts-config-service.POST:/api/v1/travelplanservice/travelPlan/quickest
11,d080cd7caefb4cf2abe5b9eaa1c86026.39.16461165583370027,1,1,user_code_chaos.POST:/api/v1/preserveotherservice/preserveOther
12,61c4cd9551ee4cbeaf9c40ad7e28aadf.38.16459061193890073,1,1,ts-basic-service.POST:/api/v1/travelplanservice/travelPlan/minStation
13,3137e95996e042a1ae0717cf0bcee243.37.16459967279300177,1,1,ts-basic-service.POST:/api/v1/travelplanservice/travelPlan/minStation
14,bd8d3b2224d3451a9b8de59256921a82.42.16458862106410215,1,1,empty.POST:/api/v1/users/login
15,40c92ef0dafa45d3ac2e737789359166.44.16457974739211759,1,1,ts-route-service.POST:/api/v1/travelplanservice/travelPlan/quickest
16,40c92ef0dafa45d3ac2e737789359166.35.16457504866350735,1,1,ts-seat-service.POST:/api/v1/travelplanservice/travelPlan/cheapest
17,b88cc045753f4ba1967aa425fe079629.43.16461045764780101,1,1,station_code_chaos.POST:/api/v1/orderservice/order/refresh
18,40c92ef0dafa45d3ac2e737789359166.42.16457551231030839,1,1,ts-travel-service.POST:/api/v1/travelplanservice/travelPlan/minStation
