,trace_id,predict,label,type
0,61c4cd9551ee4cbeaf9c40ad7e28aadf.35.16459756853271069,1,1,ts-config-service.POST:/api/v1/travelplanservice/travelPlan/quickest
1,61c4cd9551ee4cbeaf9c40ad7e28aadf.44.16459251059780619,1,1,empty.POST:/api/v1/travelplanservice/travelPlan/minStation
2,706cdd7d0c79470090069c70f52809df.43.16458091277781461,1,1,ts-ticketinfo-service.POST:/api/v1/travelservice/trips/left
3,61c4cd9551ee4cbeaf9c40ad7e28aadf.42.16459704677400919,1,1,empty.POST:/api/v1/travelplanservice/travelPlan/minStation
4,4f2ca34ee5c84c03856a87eb4ac87592.45.16457408590773631,1,1,ts-ticketinfo-service.POST:/api/v1/travelservice/trips/left
5,40c92ef0dafa45d3ac2e737789359166.42.16457417881570417,1,1,ts-ticketinfo-service.POST:/api/v1/travelplanservice/travelPlan/minStation
6,2ba46c06939c4b0cac68ad1af6e9c919.36.16457612950220031,1,1,ts-order-other-service.POST:/api/v1/preserveservice/preserve
7,a16ce861390342f2ad48b49306a938eb.38.16461112782030713,1,1,station_code_chaos.POST:/api/v1/orderOtherService/orderOther/refresh
8,61c4cd9551ee4cbeaf9c40ad7e28aadf.40.16459639848250907,1,1,ts-station-service.POST:/api/v1/travelplanservice/travelPlan/cheapest
9,40c92ef0dafa45d3ac2e737789359166.35.16457416893620385,1,1,ts-ticketinfo-service.POST:/api/v1/travelplanservice/travelPlan/cheapest
10,40c92ef0dafa45d3ac2e737789359166.35.16457983070301685,1,1,empty.POST:/api/v1/travelplanservice/travelPlan/minStation
11,40c92ef0dafa45d3ac2e737789359166.44.16457502302910801,1,1,ts-seat-service.POST:/api/v1/travelplanservice/travelPlan/quickest
12,3137e95996e042a1ae0717cf0bcee243.38.16459928234160091,1,1,ts-basic-service.POST:/api/v1/travelplanservice/travelPlan/quickest
13,8658ac688bcf4cf39e7c5ada757e8bd9.41.16457617285251651,1,1,ts-order-other-service.POST:/api/v1/travel2service/trips/left
14,61c4cd9551ee4cbeaf9c40ad7e28aadf.40.16459753890731043,1,1,ts-config-service.POST:/api/v1/travelplanservice/travelPlan/quickest
15,4f2ca34ee5c84c03856a87eb4ac87592.44.16457353503203053,1,1,ts-basic-service.POST:/api/v1/travelservice/trips/left
16,3137e95996e042a1ae0717cf0bcee243.37.16459999576710251,1,1,ts-ticketinfo-service.POST:/api/v1/travelplanservice/travelPlan/minStation
17,8658ac688bcf4cf39e7c5ada757e8bd9.41.16457972287644509,1,1,ts-route-service.POST:/api/v1/travel2service/trips/left
18,40c92ef0dafa45d3ac2e737789359166.35.16457433006220469,1,1,ts-ticketinfo-service.POST:/api/v1/travelplanservice/travelPlan/cheapest
19,544273d03b814626a3c056f4751e77ad.40.16459075210950201,1,1,ts-basic-service.POST:/api/v1/travelservice/trips/left
20,bd8d3b2224d3451a9b8de59256921a82.42.16458862106410215,1,1,empty.POST:/api/v1/users/login
21,40c92ef0dafa45d3ac2e737789359166.44.16457974739211759,1,1,ts-route-service.POST:/api/v1/travelplanservice/travelPlan/quickest
22,f4750c948a1a4f84a1fcfbdbb1b2d96e.43.16458872900780109,1,1,empty.POST:/api/v1/travelplanservice/travelPlan/minStation
23,61c4cd9551ee4cbeaf9c40ad7e28aadf.42.16459241294910537,1,1,empty.POST:/api/v1/travelplanservice/travelPlan/quickest
24,61c4cd9551ee4cbeaf9c40ad7e28aadf.38.16459205764460497,1,1,empty.POST:/api/v1/travelplanservice/travelPlan/quickest
